,host,dopant,BC-32a-d-x1,BW-32a-d-x1,BF-32a-d-x1,BC-32a-s-x1,BW-32a-s-x1,BF-32a-s-x1,BC-32a-p-x1,BW-32a-p-x1,BF-32a-p-x1,BC-19a-d-x2,BW-19a-d-x2,BF-19a-d-x2,BC-19a-s-x2,BW-19a-s-x2,BF-19a-s-x2,BC-19a-p-x2,BW-19a-p-x2,BF-19a-p-x2,BC-32a-d-x2,BW-32a-d-x2,BF-32a-d-x2,BC-32a-s-x2,BW-32a-s-x2,BF-32a-s-x2,BC-32a-p-x2,BW-32a-p-x2,BF-32a-p-x2,BC-31a-d-x1,BW-31a-d-x1,BF-31a-d-x1,BC-31a-s-x1,BW-31a-s-x1,BF-31a-s-x1,BC-31a-p-x1,BW-31a-p-x1,BF-31a-p-x1,FE-x1,FE-x2,SFE-x1-diff,MR-h-MR-dp-del,NE-s-h-NE-s-dp-del,NE-p-h-NE-p-dp-del,NE-d-h-NE-d-dp-del,CE-h-CE-dp-del,surf_ad_en_x1,surf_ad_en_x2,SE-in
0,Ag,Au,-3.329430582,1.210549152,0.979488698,-0.04367443,3.881874804,0.472903385,0.891925042,3.096324646,0.33795379,-3.559026149,1.377066433,0.977409104,-0.042662828,4.223881658,0.426874034,-0.398628274,3.408102671,0.500381695,-3.886802136,1.043166789,0.98742928,0.7630736,3.708859041,0.394834372,0.985461363,3.132874647,0.324022519,-3.894132717,1.043543986,0.987352598,0.767317991,3.717735066,0.389661046,0.99146556,3.148445044,0.324022659,-0.219516373,-0.17480805,-0.001460273,0,-2,-6,-10,0.390636326,-3460.283956,-3460.283688,-0.003646327
1,Ag,Co,-0.962144662,1.33348684,0.781753572,0.092456175,3.771512522,0.453398915,0.448724829,3.027673397,0.370872992,-1.056781723,1.386105598,0.783456502,-0.028732004,3.990439555,0.420560982,-0.236194535,3.324741914,0.462428546,-3.957361888,1.047761263,0.987274819,0.163167507,3.649309201,0.45357506,0.587918823,2.993909265,0.363197315,-3.847164317,1.008027247,0.987373073,0.367914781,3.563806736,0.441733216,0.8122326,2.962689417,0.336421531,1.708270904,1.457885242,-0.051093167,18,1,6,13,2.345373498,-3452.435283,-3452.330333,-1.427918012
2,Ag,Cu,-1.990410674,0.820248098,0.983701066,0.398352295,3.82464542,0.422434129,0.676582914,3.150347831,0.361727615,-2.037806776,0.882956911,0.98231484,0.425927556,4.046176298,0.384201425,-0.158170448,3.439844477,0.463498589,-3.946517319,1.057456695,0.987004459,0.658678244,3.729885975,0.405543648,0.908606775,3.097647814,0.333846903,-3.90055584,1.02452563,0.987425368,0.739221293,3.641310421,0.395331765,1.061840355,3.058581779,0.313445558,0.380569402,0.279615123,-0.00623946,16,2,6,10,0.7588357,-3492.287751,-3492.246633,-0.559439093
3,Ag,Ir,-0.754295939,1.570833713,0.832575153,-0.035275205,3.922476943,0.476069164,0.726648146,3.059575287,0.338265237,-0.898020897,1.684813161,0.834413406,-0.125494231,4.162767617,0.438297439,-0.091534305,3.396408496,0.463311143,-3.811670711,1.081226719,0.9866287,0.53433042,3.744492215,0.419021882,0.825787833,3.078456219,0.344622708,-3.728333707,1.047486541,0.986357081,0.638815947,3.668550682,0.42231804,1.032258501,3.067044815,0.326890498,1.807639099,1.401141658,-0.084409922,7,2,-6,-7,4.534993795,-3436.875088,-3436.808059,-0.911976336
4,Ag,Ir,-0.754295939,1.570833713,0.832575153,-0.035275205,3.922476943,0.476069164,0.726648146,3.059575287,0.338265237,-0.898020897,1.684813161,0.834413406,-0.125494231,4.162767617,0.438297439,-0.091534305,3.396408496,0.463311143,-3.811670711,1.081226719,0.9866287,0.53433042,3.744492215,0.419021882,0.825787833,3.078456219,0.344622708,-3.728333707,1.047486541,0.986357081,0.638815947,3.668550682,0.42231804,1.032258501,3.067044815,0.326890498,1.807639099,1.401141658,-0.084409922,7,2,-6,-7,4.534993795,-3436.875088,-3436.808059,-0.911976336
5,Ag,Ni,-0.488609283,0.956167475,0.901528508,0.328460908,3.773289415,0.432913383,0.585219392,3.052989787,0.358486614,-0.584603053,0.999194827,0.905242909,0.230636554,3.948580648,0.400524641,-0.067842133,3.338396123,0.448176295,-3.880418697,1.051698223,0.987251744,0.330618359,3.672876684,0.4407364,0.705653987,3.010295306,0.354925271,-3.775423796,1.010873078,0.987416666,0.53064529,3.575986788,0.42686296,0.957965862,2.977414844,0.326478503,1.016943276,0.805782842,-0.043915521,19,2,6,12,2.036068021,-3475.411665,-3475.34294,-0.9350516
6,Ag,Pt,-1.46924312,1.428683437,0.926780094,0.225771594,3.930074815,0.452462985,0.784803703,3.135251054,0.35033888,-1.695862386,1.553786579,0.926337583,0.137303397,4.200382758,0.415933612,-0.351785254,3.417667192,0.501615622,-3.815819459,1.064549143,0.987093301,0.769693522,3.745950641,0.395573142,0.993885993,3.116768284,0.326555,-3.754633952,1.044829075,0.986895771,0.865747629,3.705029602,0.391361875,1.134986702,3.106363636,0.313805929,0.110494595,-0.046828092,-0.041391703,4,2,-6,-9,2.648040415,-3447.579523,-3447.569384,-0.137948173
7,Ag,Rh,-0.681022447,1.374384279,0.854680104,-0.1197311,3.719287084,0.507037486,0.631553794,3.176563448,0.365587261,-0.810292237,1.48644775,0.856830951,-0.541322774,4.046870624,0.516489551,-0.70047333,3.363799295,0.55127913,-3.803079293,1.116658049,0.987058927,0.644297485,3.988521801,0.407657038,0.700183478,5.614976097,0.327114212,-3.735646539,1.087267575,0.986920469,0.795193748,3.66524695,0.407313148,1.16870121,3.013728552,0.307568844,1.032959223,0.673523892,-0.067991633,9,2,0,2,2.755507402,-3607.998358,-3607.956355,-0.571480136
8,Ag,Pd,-1.500999918,1.213770668,0.949402435,0.554991362,3.777863674,0.426559065,0.82591795,3.278644247,0.360766536,-1.662604906,1.328119003,0.947460713,0.177078924,4.13713321,0.428591605,-1.063648104,3.34269889,0.602964513,-3.812972087,1.04333797,0.987468089,0.791207044,3.72005213,0.397196597,1.085173513,3.049504789,0.314766385,-3.774660114,1.02783723,0.987422585,0.871578829,3.679405049,0.392585166,1.186066797,3.029599915,0.302260619,-0.070308125,-0.240501802,-0.034050652,6,2,0,0,1.015152018,-3453.467299,-3453.470329,0.041225265
9,Ag,Ag,-3.913959362,1.03062194,0.987505432,0.750887892,3.702285087,0.397163625,1.000038763,3.077751116,0.322379348,-4.070945236,1.180069077,0.985642541,0.410492666,4.077028746,0.390271925,-0.31330803,3.400732269,0.487182064,-3.913959362,1.03062194,0.987505432,0.750887892,3.702285087,0.397163625,1.000038763,3.077751116,0.322379348,-3.913934532,1.030636105,0.987505086,0.752260344,3.702714666,0.397053517,0.99996871,3.077727346,0.322384423,0,0,0,0,0,0,0,0,-3469.875611,-3469.875611,0
